Penetration (%),Demand (veh/hr),CROSSING,FOLLOWING,MERGING
0,200,0.0,0.0,0.0
100,200,1.0,0.0,0.0
25,200,0.0,0.0,0.0
50,200,0.0,0.0,0.0
75,200,0.0,0.0,0.0
